id,2033-1,2033-2,2033-3,2033-4,2033-5,2033-6,2033-7,2033-8,2033-9,2033-10,2033-11,2033-12,2034-1,2034-2,2034-3,2034-4,2034-5,2034-6,2034-7,2034-8,2034-9,2034-10,2034-11,2034-12,Sum,Last 6 Month
79fa8bb8fb,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,6,3
54970468a0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,15,2
c5b09bf41e,0,0,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,19,6
e36cff4870,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
44f2b47a5e,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,0,0,0,-1,-2
a9f00c4b46,0,0,0,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,13,6
3dbbad60fb,0,0,0,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,15,6
5d9b6c8df3,0,0,0,0,0,1,1,0,1,1,1,-1,-1,0,0,0,0,1,1,-1,1,1,1,-1,6,2
e8cf362bb4,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
508864fa79,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,9,0
6ef399bf15,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,18,6
84a09b4188,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
53b3fbeae2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
1893d158f6,0,0,0,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,0,0,1,1,1,11,2
1fe344adcb,0,0,0,0,0,1,1,0,0,0,0,1,1,-1,-1,-1,0,1,1,-1,-1,-1,0,1,1,-1
ef9bc54a2d,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
6d4b3b04af,0,0,0,0,1,1,1,1,1,1,1,1,-1,-1,0,0,1,1,1,1,1,1,1,1,14,6
062de5273b,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
a47bc8fd93,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,14,6
2342a8e3e6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
8555962b0b,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,8,4
fe1cb2e840,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
3008a4de59,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,10,5
864fca1b2c,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
f4e1e9530a,0,0,0,0,0,0,0,1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,1
8ce13fda0c,0,0,0,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,13,2
d1d0f1feee,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
d474d420b3,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,20,6
80af9230cb,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,20,6
a15e98ab87,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
69821cf0e2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
02f520d93e,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,-1,-1,-1,5,0
2577b37ba1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,16,6
99c8604dc7,0,0,0,1,-1,-1,-1,0,0,0,0,0,1,1,1,1,-1,-1,-1,0,0,0,0,0,-1,-1
ee0e287095,0,0,0,0,0,0,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,5,4
6d829dd356,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
ab700009c5,0,0,0,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,0,0,0,12,3
3c1e9fb123,0,0,0,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,17,6
8e78c1f7f5,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,12,2
2140cd7d8f,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
d26e4cd2d1,0,0,0,1,1,1,1,1,1,1,1,1,-1,-1,0,1,1,1,1,1,1,1,1,1,16,6
ba8d917738,0,0,0,0,0,0,0,1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,1
6f4c651e94,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,14,6
9341f7eea7,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
d32eef7b99,0,0,0,0,0,1,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,11,4
75b0bc33da,0,0,0,1,1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,1,1,1,9,2
8ca23d4d9e,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
3347a28bfa,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
edc234d09d,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,1,1,18,3
4c9ebce8c3,0,0,0,0,0,1,1,-1,-1,1,1,1,-1,-1,0,0,0,1,1,0,0,1,1,1,6,4
d04392dbb7,0,0,0,0,0,0,0,1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,1
bedaed7baa,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,4,1
ce61387781,0,0,0,0,1,1,1,1,1,-1,1,1,1,-1,1,-1,1,1,1,1,1,-1,1,1,12,4
779fc27c07,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
7507ab4fc0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,-1,-1,-1,1,1,-1,-1,-1,0,0,-1
7183365b80,0,0,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,19,6
ce3675664d,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
765e3e8294,0,0,0,1,1,1,0,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,16,4
0b0ea71d37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,-1,-2
4dfa550441,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,-1,-1,-1,-1,-1,0,1,-1,1,1,-1
8d20721d59,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
51de14940a,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
654930c922,0,0,0,-1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,15,6
cb1679f4be,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,4,2
1eec3ea7b8,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
312e90b32f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0,0,0,0,-4,-2
a0293d9cf8,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
98a5b35f97,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
fdd81011fc,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
c4149c1202,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,12,6
2d0459034b,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
eb772f6014,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
67bd9cbc45,0,0,0,1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,9,2
dd89fe7b7a,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
f8b00719e2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,18,6
71e09422a2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,0
0b88f468ca,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
681836a496,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,-1,-1,-1,1,1,11,0
f002cb5dd9,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,8,4
b8a9e64299,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,-1,-1,-1,-1,1,4,-2
bdebc6831e,0,0,0,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,13,2
8d3d66a648,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,0,0,0,0,-1,-1
4ffcef37b0,0,0,0,1,-1,-1,-1,1,1,1,0,1,0,1,-1,1,-1,0,0,1,1,1,-1,1,5,3
03e1d63f5b,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
2c2c731ef8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1
3932608d23,0,0,0,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,-1,13,2
cca5271a93,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
7d3b68bfad,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
734d83bb25,0,0,0,1,-1,1,-1,-1,1,1,1,-1,1,1,1,1,-1,1,-1,0,1,0,1,0,6,1
7549a5cdd8,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,-1,-1,-1,-1,0,0,1,1,5,0
5330044a63,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
5a90fc9d7b,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,-1,1,1,1,7,3
42d334dff4,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
da95397f18,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,10,5
7a3af30f3a,0,0,0,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,19,6
251be3c55e,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,-1,-1,1,1,1,1,1,1,12,6
622a6c9ff0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
6352229f2b,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,19,6
756481c507,0,0,0,1,1,1,1,1,0,0,1,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,13,2
d6de489b46,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
d087d4c321,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
94e5ae01cd,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,18,6
71a3c03fc8,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,20,6
bd9fb0a94f,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,18,6
47e855fc3c,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
ff2221ba77,0,0,0,1,1,1,1,1,1,-1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,-1,9,2
230a33cd7f,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,-1,-1,1,15,2
8a680659fb,0,0,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,17,4
53f5581008,0,0,0,0,1,1,1,-1,-1,-1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,1
6032e301e1,0,0,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,19,6
1926d0b8cc,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,-1,-1,1,-1,1,1,1,1,10,4
554a9ad55b,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
b2aae50564,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,14,6
78639fbae7,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
005e8bb6fb,0,0,0,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,5,-2
ff86f631bd,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,20,6
4fb1ea89a1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,12,6
4a7b88e2c0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
51fa990c7b,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,6,3
a66fdb965a,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,18,6
efe5609714,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,-1,3,0
72bb47baa2,0,0,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,19,6
97fa7a0b88,0,0,0,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,15,4
913696f5ff,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
88cbeb3962,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,12,6
9843e52410,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
2e363fb57b,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
3317a99c8e,0,0,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,19,6
ee57011cd9,0,0,0,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,13,6
e5343f95f3,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,18,4
cb38fba1b6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
f7247451ab,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,20,6
9ef93cf9e4,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
4ab1e8f5a1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
15864c9929,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,14,6
c006fca87c,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,-1,-1,10,2
6fcad70b30,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,14,6
cb5883a832,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
a8af7ff103,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,-1,-1,-1,1,-1,4,-2
5929a9cbc7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-2
325fa26e4b,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,19,6
92755e2595,0,0,0,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,17,6
e53c9543bc,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
72da4fd806,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,14,6
6780e36062,0,0,0,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,1,1,7,2
9224dda31d,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
0e99bce5c0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,18,4
0c8449b643,0,0,0,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,17,6
ebde1d9faf,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
74e6e050b9,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
6fa93189d6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
4b683b2bc5,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,18,6
63e83de47e,0,0,0,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,7,0
4ba3bb514e,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,15,6
c5eaa8c154,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,12,6
6256fd4ab4,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
a0c43184a0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
8f852e478e,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
dcce344e76,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
fa420b4110,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
71ede2f67b,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
73b906f732,0,0,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,19,6
cab9aa5607,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
3bdf3420f2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
4ec0b84264,0,0,0,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,17,4
b6e8cc95eb,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,10,5
2daf9c203c,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,-1,0,0,0,0,0,0,1,1,1
8ddaf82b3d,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
610c5a22a8,0,0,0,0,1,0,0,0,0,1,1,1,1,-1,-1,-1,1,-1,-1,-1,0,1,1,1,3,1
2380e56c8c,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
c9fdb196a8,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
51e694b3d2,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,16,6
6a86376148,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,0,0,0,-1,-2
6e18435702,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,18,6
56e06138e7,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
6228311e8d,0,0,0,0,1,1,1,1,1,-1,-1,-1,0,0,0,0,1,1,1,1,1,0,0,0,7,3
695de2b108,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
ce54c1ba8f,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
37ca2bbebe,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,19,6
09abd93684,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,-1,5,2
3c4ac570a3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
6647940188,0,0,0,0,1,0,1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,0
68b7f619f5,0,0,0,0,0,1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0
3cc77ac046,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
b9dbeb2558,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,0,0,0,0,0,0,-1,0
206d5977b8,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,-1,-1,-1,0,0,1,1,8,0
c07ae24223,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,20,6
c3a4367072,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,12,6
62937187ce,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
32c974d7b5,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,-1,-1,1,1,1,-1,1,1,10,4
1d3fdbcb54,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
24a929eaac,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
ed609d676e,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,-1,5,2
b583972b34,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
c50b97c8fc,0,0,0,0,0,0,0,0,1,1,1,1,-1,-1,-1,-1,-1,0,0,0,1,1,1,1,3,4
0f40677ab7,0,0,0,0,1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,14,6
00575c7901,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
9f847153de,0,0,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,19,6
d503cb6f1c,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
771205712b,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
d5bc2a0791,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,15,2
5f013b6a5d,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
